| **书名**               | **朝代**      | **世纪** | **分类**             | **备注**                                                                 |
|------------------------|--------------|----------|----------------------|--------------------------------------------------------------------------|
| 祖堂集                 | 五代南唐     | 10世纪   | 禅宗语录/佛教史传    | 佛教禅宗最早语录体史书，记录禅宗祖师言行                                 |
| 朱子語類               | 南宋         | 13世纪   | 儒家语录/哲学        | 朱熹门人辑录其讲学内容，涵盖理学思想                                     |
| 大唐三藏取經詩話       | 宋           | 13世纪   | 话本小说             | 现存最早西游故事雏形，元代《西游记》前身                                 |
| 新刊大宋宣和遺事       | 宋元之际     | 13-14世纪| 平话/讲史小说        | 宋元话本集，含宋江起义等故事，水浒传重要源头                             |
| 永樂大典戲文三種       | 明           | 15世纪   | 戏曲/南戏            | 《永乐大典》残存三种南戏剧本（如《张协状元》）                           |
| 五代史平話             | 宋元         | 13-14世纪| 讲史平话             | 以五代兴亡为题材的通俗历史演义                                           |
| 全相平話五種           | 元           | 14世纪   | 讲史平话             | 元代刊行五种历史平话（如《武王伐纣平话》）                               |
| 關漢卿戲曲集           | 元           | 13-14世纪| 杂剧                 | 关汉卿剧作合集（含《窦娥冤》《救风尘》等）                               |
| 元刊雜劇三十種         | 元           | 14世纪   | 杂剧                 | 元代刊刻杂剧选集，现存最早元杂剧版本                                     |
| 老乞大諺解             | 明（朝鲜）   | 15-16世纪| 汉语教材/会话书      | 朝鲜王朝汉语教科书，含口语对话与注解                                     |
| 朴通事諺解             | 明（朝鲜）   | 15-16世纪| 汉语教材/百科书      | 朝鲜王朝汉语教材，内容涵盖市井生活与百科知识                             |
| 水滸傳                 | 明           | 16世纪   | 章回小说             | 施耐庵/罗贯中著，北宋农民起义题材                                        |
| 西遊記                 | 明           | 16世纪   | 章回小说（神魔）     | 吴承恩著，玄奘取经神话改编                                               |
| 金瓶梅                 | 明           | 16世纪   | 章回小说（世情）     | 兰陵笑笑生著，以西门庆家族兴衰揭露社会现实                               |
| 平妖傳                 | 明           | 16-17世纪| 章回小说（神魔）     | 罗贯中、冯梦龙编，北宋王则起义结合神怪元素                               |
| 醒世姻緣               | 清           | 17世纪   | 章回小说（世情）     | 西周生著，以因果轮回写家庭伦理                                           |
| 儒林外史               | 清           | 18世纪   | 章回小说（讽刺）     | 吴敬梓著，讽刺科举制度与士人生态                                         |
| 紅樓夢                 | 清           | 18世纪   | 章回小说（世情）     | 曹雪芹著，贾府兴衰与宝黛爱情悲剧                                         |
| 岐路燈                 | 清           | 18世纪   | 章回小说（教育）     | 李绿园著，通过少年成长反映社会教化                                       |
